match_no,innings,over,runs,wickets
22,2,19,10,0
22,2,20,12,1
23,1,1,9,0
23,1,2,5,0
23,1,3,8,0
23,1,4,10,1
23,1,5,1,0
23,1,6,2,0
23,1,7,5,1
23,1,8,15,0
23,1,9,8,0
23,1,10,8,1
23,1,11,11,0
23,1,12,8,1
23,1,13,5,0
23,1,14,7,0
23,1,15,10,0
23,1,16,6,1
23,1,17,6,1
23,1,18,11,0
23,1,19,4,2
23,1,20,7,2
23,2,1,6,0
23,2,2,7,1
23,2,3,15,0
23,2,4,17,0
23,2,5,10,0
23,2,6,5,0
23,2,7,5,0
23,2,8,3,1
23,2,9,13,0
23,2,10,5,0
23,2,11,6,1
23,2,12,23,0
23,2,13,8,2
23,2,14,13,0
23,2,15,9,0
23,2,16,4,0
24,1,1,1,0
24,1,2,11,0
24,1,3,3,2
24,1,4,10,0
24,1,5,8,0
24,1,6,15,0
24,1,7,19,0
24,1,8,7,0
24,1,9,12,0
24,1,10,11,0
24,1,11,13,0
24,1,12,15,0
24,1,13,7,0
24,1,14,4,1
24,1,15,9,0
24,1,16,15,0
24,1,17,9,0
24,1,18,8,1
24,1,19,9,1
24,1,20,9,1
24,2,1,21,0
24,2,2,5,0
24,2,3,1,1
24,2,4,12,0
24,2,5,13,1
24,2,6,9,0
24,2,7,8,0
24,2,8,14,0
24,2,9,5,0
24,2,10,12,0
24,2,11,18,0
24,2,12,12,0
24,2,13,16,0
24,2,14,15,0
24,2,15,11,0
24,2,16,16,1
24,2,17,10,0
25,1,1,9,1
25,1,2,12,1
25,1,3,3,0
25,1,4,8,1
25,1,5,4,0
25,1,6,1,0
25,1,7,11,0
25,1,8,11,0
25,1,9,10,0
25,1,10,11,0
25,1,11,7,1
25,1,12,16,0
25,1,13,19,0
25,1,14,17,0
25,1,15,9,1
25,1,16,9,1
25,1,17,8,1
25,1,18,7,1
25,1,19,2,1
25,1,20,6,1
25,2,1,9,0
25,2,2,11,0
25,2,3,20,0
25,2,4,5,0
25,2,5,12,0
25,2,6,14,1
25,2,7,12,0
25,2,8,10,0
25,2,9,2,0
25,2,10,4,1
25,2,11,5,0
25,2,12,15,0
25,2,13,4,0
25,2,14,16,0
25,2,15,5,1
25,2,16,5,0
25,2,17,9,1
25,2,18,12,0
25,2,19,6,0
25,2,20,5,1
26,1,1,13,0
26,1,2,8,0
26,1,3,6,0
26,1,4,7,0
26,1,5,18,0
26,1,6,7,1
26,1,7,6,0
26,1,8,14,0
26,1,9,11,0
26,1,10,9,1
26,1,11,11,1
26,1,12,12,0
26,1,13,10,1
26,1,14,7,0
26,1,15,7,0
26,1,16,2,1
26,1,17,5,1
26,1,18,14,0
26,1,19,2,0
26,1,20,6,2
26,2,1,2,1
26,2,2,13,0
26,2,3,7,2
26,2,4,9,0
26,2,5,14,0
26,2,6,5,0
26,2,7,6,0
26,2,8,14,0
26,2,9,6,0
26,2,10,11,0
26,2,11,7,1
26,2,12,7,0
26,2,13,16,0
26,2,14,8,0
26,2,15,5,0
26,2,16,5,0
26,2,17,4,0
26,2,18,12,0
26,2,19,10,0
26,2,20,18,0
27,1,1,4,0
27,1,2,10,0
27,1,3,9,0
27,1,4,15,0
27,1,5,25,0
27,1,6,12,2
27,1,7,9,0
27,1,8,9,1
27,1,9,7,0
27,1,10,12,0
27,1,11,6,1
27,1,12,13,0
27,1,13,8,0
27,1,14,9,1
27,1,15,6,0
27,1,16,9,0
27,1,17,14,0
27,1,18,2,1
27,1,19,8,1
27,1,20,7,2
27,2,1,15,0
27,2,2,8,1
27,2,3,24,0
27,2,4,13,0
27,2,5,6,1
27,2,6,10,1
27,2,7,7,0
27,2,8,13,0
27,2,9,8,0
27,2,10,7,0
27,2,11,1,1
27,2,12,3,1
27,2,13,5,0
27,2,14,15,0
27,2,15,6,0
27,2,16,8,1
27,2,17,6,1
27,2,18,10,0
27,2,19,12,0
27,2,20,7,1
28,1,1,6,0
28,1,2,9,0
28,1,3,5,0
28,1,4,15,0
28,1,5,6,0
28,1,6,22,0
28,1,7,8,0
28,1,8,8,0
28,1,9,2,1
28,1,10,14,0
28,1,11,3,1
28,1,12,6,1
28,1,13,5,0
28,1,14,4,0
28,1,15,5,1
28,1,16,6,1
28,1,17,8,0
28,1,18,12,0
28,1,19,2,3
28,1,20,9,1
28,2,1,5,1
28,2,2,10,1
28,2,3,6,0
28,2,4,10,0
28,2,5,8,1
28,2,6,12,0
28,2,7,1,1
28,2,8,7,0
28,2,9,4,0
28,2,10,7,0
28,2,11,3,1
28,2,12,3,0
28,2,13,8,0
28,2,14,3,1
28,2,15,10,0
28,2,16,19,0
28,2,17,12,0
28,2,18,7,0
28,2,19,12,0
28,2,20,14,0
29,1,1,7,1
29,1,2,8,0
29,1,3,11,0
29,1,4,13,0
29,1,5,4,0
29,1,6,20,0
29,1,7,14,0
29,1,8,14,0
29,1,9,10,0
29,1,10,9,0
29,1,11,19,0
29,1,12,18,0
29,1,13,32,0
29,1,14,7,1
29,1,15,7,1
29,1,16,3,1
29,1,17,18,1
29,1,18,15,0
29,1,19,20,0
29,1,20,5,2
29,2,1,2,0
29,2,2,10,0
29,2,3,17,0
29,2,4,15,0
29,2,5,11,0
29,2,6,6,1
29,2,7,15,0
29,2,8,13,0
29,2,9,8,0
29,2,10,5,0
29,2,11,7,0
29,2,12,14,1
29,2,13,10,1
29,2,14,5,0
29,2,15,4,1
29,2,16,16,0
29,2,17,9,0
29,2,18,12,0
29,2,19,13,0
29,2,20,8,1
30,1,1,2,0
